"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 28 22:57:25 GMT 2024","Sun Jan 28 22:57:26 GMT 2024","1560","firefox","checkout.spec.ts","","","","Sucessfull checkout of a single item",""
"passed","Sun Jan 28 22:57:28 GMT 2024","Sun Jan 28 22:57:29 GMT 2024","1156","firefox","login.spec.ts","","","","Sucessfull Login",""
"passed","Sun Jan 28 22:57:37 GMT 2024","Sun Jan 28 22:57:41 GMT 2024","3169","firefox","socialLinks.spec.ts","","","","click on Facebook",""
"passed","Sun Jan 28 22:56:56 GMT 2024","Sun Jan 28 22:56:58 GMT 2024","1534","chromium","cart.spec.ts","","","","Validate that the item has been addicioned to the cart",""
"passed","Sun Jan 28 22:57:06 GMT 2024","Sun Jan 28 22:57:11 GMT 2024","4750","chromium","socialLinks.spec.ts","","","","click on twitter",""
"passed","Sun Jan 28 22:57:00 GMT 2024","Sun Jan 28 22:57:01 GMT 2024","1110","chromium","cart.spec.ts","","","","Validate if the item has been removed from the cart after click 'Remove' button",""
"passed","Sun Jan 28 22:58:03 GMT 2024","Sun Jan 28 22:58:07 GMT 2024","4368","webkit","socialLinks.spec.ts","","","","click on LINKEDIN",""
"passed","Sun Jan 28 22:57:45 GMT 2024","Sun Jan 28 22:57:46 GMT 2024","1511","webkit","cart.spec.ts","","","","Validate that multiples itens has been addicioned to the cart",""
"passed","Sun Jan 28 22:57:22 GMT 2024","Sun Jan 28 22:57:24 GMT 2024","1357","firefox","cart.spec.ts","","","","Validate if the item has been removed from the cart after click 'Remove' button",""
"passed","Sun Jan 28 22:57:06 GMT 2024","Sun Jan 28 22:57:06 GMT 2024","447","chromium","login.spec.ts","","","","Login with invalid user",""
"passed","Sun Jan 28 22:57:55 GMT 2024","Sun Jan 28 22:57:56 GMT 2024","727","webkit","login.spec.ts","","","","Login with invalid user",""
"passed","Sun Jan 28 22:57:29 GMT 2024","Sun Jan 28 22:57:29 GMT 2024","611","firefox","login.spec.ts","","","","Login with invalid user",""
"passed","Sun Jan 28 22:57:56 GMT 2024","Sun Jan 28 22:58:03 GMT 2024","6833","webkit","socialLinks.spec.ts","","","","click on twitter",""
"passed","Sun Jan 28 22:57:05 GMT 2024","Sun Jan 28 22:57:06 GMT 2024","977","chromium","login.spec.ts","","","","Sucessfull Login",""
